"breed_name","download_link","breed_id"
"Affenpinscher","http://images.akc.org/pdf/breeds/standards/Affenpinscher.pdf","CB1"
"Airedale Terrier","http://images.akc.org/pdf/breeds/standards/AiredaleTerrier.pdf","CB3"
"Akita","http://images.akc.org/pdf/breeds/standards/Akita.pdf","CB4"
"Alaskan Malamute","http://images.akc.org/pdf/breeds/standards/AlaskanMalamute.pdf","CB5"
"American English Coonhound","http://images.akc.org/pdf/breeds/standards/AmericanEnglishCoonhound.pdf","CB6"
"American Eskimo Dog","http://images.akc.org/pdf/breeds/standards/AmericanEskimoDog.pdf","CB7"
"American Foxhound","http://images.akc.org/pdf/breeds/standards/AmericanFoxhound.pdf","CB8"
"American Hairless Terrier","http://images.akc.org/pdf/breeds/standards/AmericanHairlessTerrier.pdf","CB9"
"Anatolian Shepherd Dog","http://images.akc.org/pdf/breeds/standards/AnatolianShepherdDog.pdf","CB13"
"Australian Cattle Dog","http://images.akc.org/pdf/breeds/standards/AustralianCattleDog.pdf","CB15"
"Australian Shepherd","http://images.akc.org/pdf/breeds/standards/AustralianShepherd.pdf","CB16"
"Australian Terrier","http://images.akc.org/pdf/breeds/standards/AustralianTerrier.pdf","CB17"
"Azawakh","http://images.akc.org/pdf/breeds/standards/Azawakh.pdf","CB18"
"Barbet(French Water Dog)","http://images.akc.org/pdf/breeds/standards/Official_Standard_for_the_Barbet.pdf","CB19"
"Basenji(African Barkless Dog)","http://images.akc.org/pdf/breeds/standards/Basenji.pdf","CB20"
"Basset Hound","http://images.akc.org/pdf/breeds/standards/BassetHound.pdf","CB22"
"English Beagle","http://images.akc.org/pdf/breeds/standards/Beagle.pdf","CB24"
"Bearded Collie","http://images.akc.org/pdf/breeds/standards/BeardedCollie.pdf","CB25"
"Beauceron(French Short-Haired Shepherd Dog)","http://images.akc.org/pdf/breeds/standards/Beauceron.pdf","CB26"
"Bedlington Terrier","http://images.akc.org/pdf/breeds/standards/BedlingtonTerrier.pdf","CB27"
"Belgian Laekenois","http://images.akc.org/pdf/breeds/standards/BelgianLaekenois.pdf","CB28"
"Belgian Malinois","http://images.akc.org/pdf/breeds/standards/BelgianMalinois.pdf","CB29"
"Belgian Shepherd Dog","http://images.akc.org/pdf/breeds/standards/BelgianSheepdog.pdf","CB30"
"Belgian Tervuren","http://images.akc.org/pdf/breeds/standards/BelgianTervuren.pdf","CB31"
"Bergamasco Shepherd Dog","http://images.akc.org/pdf/breeds/standards/Bergamasco.pdf","CB32"
"Berger Picard","http://images.akc.org/pdf/breeds/standards/BergerPicard.pdf","CB33"
"Bernese Mountain Dog","http://images.akc.org/pdf/breeds/standards/BerneseMountainDog.pdf","CB34"
"Bichon Frise","http://images.akc.org/pdf/breeds/standards/BichonFrise.pdf","CB35"
"American Black and Tan Coonhound","http://images.akc.org/pdf/breeds/standards/BlackandTanCoonhound.pdf","CB37"
"Black Russian Terrier","http://images.akc.org/pdf/breeds/standards/BlackRussianTerrier.pdf","CB38"
"Bloodhound","http://images.akc.org/pdf/breeds/standards/Bloodhound.pdf","CB39"
"Bluetick Coonhound","http://images.akc.org/pdf/breeds/standards/BluetickCoonhound.pdf","CB40"
"Boerboel(South African Mastiff)","http://images.akc.org/pdf/breeds/standards/Boerboel.pdf","CB41"
"Border Collie","http://images.akc.org/pdf/breeds/standards/Border_Collie.pdf","CB43"
"Border Terrier","http://images.akc.org/pdf/breeds/standards/BorderTerrier.pdf","CB44"
"Borzoi(Russian wolfhound)","http://images.akc.org/pdf/breeds/standards/Borzoi.pdf","CB45"
"Boston Terrier","http://images.akc.org/pdf/breeds/standards/BostonTerrier.pdf","CB46"
"Bouvier des Flandres(Flanders Cattle Dog)","http://images.akc.org/pdf/breeds/standards/BouvierdesFlandres.pdf","CB47"
"German Boxer","http://images.akc.org/pdf/breeds/standards/Boxer.pdf","CB48"
"Boykin Spaniel","http://images.akc.org/pdf/breeds/standards/BoykinSpaniel.pdf","CB49"
"Bracco Italiano(Italian Pointer)","https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2022/01/05111112/Bracco-Italiano-Standard.pdf","CB50"
"Braque du Bourbonnais(Bourbonnais Pointer)","https://www.fci.be/Nomenclature/Standards/179g07-en.pdf","CB51"
"Berger Briard","http://images.akc.org/pdf/breeds/standards/Briard.pdf","CB53"
"Brittany","http://images.akc.org/pdf/breeds/standards/Brittany.pdf","CB54"
"Danish Broholmer","https://www.fci.be/Nomenclature/Standards/315g02-en.pdf","CB55"
"Brussels Griffon","http://images.akc.org/pdf/breeds/standards/BrusselsGriffon.pdf","CB56"
"English Bull Terrier","http://images.akc.org/pdf/breeds/standards/BullTerrier.pdf","CB57"
"English Bulldog","http://images.akc.org/pdf/breeds/standards/Bulldog.pdf","CB58"
"Bullmastiff","http://images.akc.org/pdf/breeds/standards/Bullmastiff.pdf","CB59"
"Cairn Terrier","http://images.akc.org/pdf/breeds/standards/CairnTerrier.pdf","CB60"
"Canaan Dog","http://images.akc.org/pdf/breeds/standards/CanaanDog.pdf","CB61"
"Cane Corso(Italian Mastiff)","http://images.akc.org/pdf/breeds/standards/CaneCorso.pdf","CB62"
"Cardigan Welsh Corgi","http://images.akc.org/pdf/breeds/standards/CardiganWelshCorgi.pdf","CB63"
"Caucasian Shepherd Dog","http://www.fci.be/Nomenclature/Standards/328g02-en.pdf","CB66"
"Cavalier King Charles Spaniel","http://images.akc.org/pdf/breeds/standards/CavalierKingCharlesSpaniel.pdf","CB67"
